4505	8	56281	65535	65535	65535	0.00ršÊj
48513	8	56281	6535	65535	65535	0.00	1.39
48521	8	56281	65535	65535	65535	0.00	1.39
48530	9	56281	65535	65535	65535	0.00	1.39
þ48538	8	56281	65535	65535	65535	0.00	1.39
48546	8	56281	65535	65535	65535	0.00	1.39
48555	9	56281	65535	65535	65535	0.00	1.39
48564	9	56281	65535	65535	65535	0.00	1.39
48572	8	56281	65535	65535	65535	0.00	1.39
48580	8	56281	65535	65535	65535	0.00	1.39
48588	8	56281	65535	65535	65535	0.00	1.39
48597	9	56281	65535	65535	65535	0.00	1.39
48605	8	56281	65535	65535	65535	0.00	1.39
48614	9	56281	65535	65535	65535	0.00	1.39
48622	8	56281	65535	65535	65535	0.00	1.39
48631	9	56281	65535	65535	65535	0.00	1.39
48639	8	56281	65535	65535	65535	0.00	1.39
48647	8	56281	65535	65535	65535	0.00	1.39
48656	9	56281	65535	65535	65535	0.00	1.39
48665	9	56281	65535	65535	65535	0.00	1.39
48673	8	56281	65535	65535	65535	0.00	1.39
48681	8	56281	65535	65535	65535	0.00	1.39
48689	8	56281	65535	65535	65535	0.00	1.39
48698	9	56281	65535	65535	65535	0.00	1.39
48706	8	56281	65535	65535	65535	0.00	1.39
48715	9	56281	65535	65535	65535	0.00	1.39
48723	8	56281	65535	65535	65535	0.00	1.39
48731	8	56281	65535	65535	65535	0.00	1.39
48739	8	56281	65535	65535	65535	0.00	1.39
48747	8	56281	65535	65535	65535	0.00	1.39
48755	8	56281	65535	65535	65535	0.00	1.39
48763	8	56281	65535	65535	65535	0.00	1.39
48772	9	56281	65535	65535	65535	0.00	1.39
48780	8	56281	65535	65535	65535	0.00	1.39
48788	8	56281	65535	65535	65535	0.00	1.39
48796	8	56281	65535	65535	65535	0.00	1.39
48804	8	56281	65535	65535	65535	0.00	1.39
48813	9	56281	65535	65535	65535	0.00	1.39
48821	8	56281	65535	65535	65535	0.00	1.39
48829	8	56281	65535	65535	65535	0.00	1.39
48837	8	56281	65535	65535	65535	0.00	1.39
48845	8	56281	65535	65535	65535	0.00	1.39
48853	8	56281	65535	65535	65535	0.00	1.39
48861	8	56281	65535	65535	65535	0.00	1.39
48870	9	56281	65535	65535	65535	0.00	1.39
48878	8	56281	65535	65535	65535	0.00	1.39
48887	9	56281	65535	65535	65535	0.00	1.39
48895	8	56281	65535	65535	65535	0.00	1.39
48903	8	56281	65535	65535	65535	0.00	1.39
48911	8	56281	65535	65535	65535	0.00	1.39
48920	9	56281	65535	65535	65535	0.00	1.39
48929	9	56281	65535	65535	65535	0.00	1.39
48937	8	56281	65535	65535	65535	0.00	1.39
48945	8	56281	65535	65535	65535	0.00	1.39
48954	9	56281	65535	65535	65535	0.00	1.39
48962	8	56281	65535	65535	65535	0.00	1.39
48971	9	56281	65535	65535	65535	0.00	1.39
48979	8	56281	65535	65535	65535	0.00	1.39
48988	9	56281	65535	65535	65535	0.00	1.39
48996	8	56281	65535	65535	65535	0.00	1.39
49004	8	56281	65535	65535	65535	0.00	1.39
49012	8	56281	65535	65535	65535	0.00	1.39
49021	9	56281	65535	65535	65535	0.00	1.39
49030	9	56281	65535	65535	65535	0.00	1.39
49038	8	56281	65535	65535	65535	0.00	1.39
49046	8	56281	65535	65535	65535	0.00	1.39
49055	9	56281	65535	65535	65535	0.00	1.39
49063	8	56281	65535	65535	65535	0.00	1.39
49071	8	56281	65535	65535	65535	0.00	1.39
49079	8	56281	65535	65535	65535	0.00	1.39
49089	10	56281	65535	65535	65535	0.00	1.39
49097	8	56281	65535	65535	65535	0.00	1.39
49105	8	56281	65535	65535	65535	0.00	1.39
49113	8	56281	65535	65535	65535	0.00	1.39
49122	9	56281	65535	65535	65535	0.00	1.39
49130	8	56281	65535	65535	65535	0.00	1.39
49138	8	56281	65535	65535	65535	0.00	1.39
49146	8	56281	65535	65535	65535	0.00	1.39
49155	9	56281	65535	65535	65535	0.00	1.39
49163	8	56281	65535	65535	65535	0.00	1.39
49171	8	56281	65535	65535	65535	0.00	1.39
49179	8	56281	65535	65535	65535	0.00	1.39
49189	10	56281	65535	65535	65535	0.00	1.39
