878	10	65535	65535	1	65535	©ÊJ0.00
44886	8	Õ535	65535	1	65535	2.59	0.00
44894	8	65535	65535	1SSÓªJ2.59	0.00
S‚šJ9	65535	65535	1	65535	2.59	0.00
44912	9	65535	65535	1	65535	2.59	0.00
44921	9	65535	65535	1	65535	2.59	0.00
44929	8	65535	65535	1	65535	2.59	0.00
44938	9	65535	65535	1	65535	2.59	0.00
44947	9	65535	65535	1	65535	2.59	0.00
44955	8	65535	65535	1	65535	2.59	0.00
44964	9	65535	65535	1	65535	2.59	0.00
44972	8	65535	65535	1	65535	2.59	0.00
44982	10	65535	65535	1	65535	2.59	0.00
44990	8	65535	65535	1	65535	2.59	0.00
44998	8	65535	65535	1	65535	2.59	0.00
45006	8	65535	65535	1	65535	2.59	0.00
45015	9	65535	65535	1	65535	2.59	0.00
45024	9	65535	65535	1	65535	2.59	0.00
45032	8	65535	65535	1	65535	2.59	0.00
45041	9	65535	65535	1	65535	2.59	0.00
45050	9	65535	65535	1	65535	2.59	0.00
45058	8	65535	65535	1	65535	2.59	0.00
45067	9	65535	65535	1	65535	2.59	0.00
45075	8	65535	65535	1	65535	2.59	0.00
45085	10	65535	65535	1	65535	2.59	0.00
45093	8	65535	65535	1	65535	2.59	0.00
45102	9	65535	65535	1	65535	2.59	0.00
45110	8	65535	65535	1	65535	2.59	0.00
45118	8	65535	65535	1	65535	2.59	0.00
45127	9	65535	65535	1	65535	2.59	0.00
45135	8	65535	65535	1	65535	2.59	0.00
45144	9	65535	65535	1	65535	2.59	0.00
45152	8	65535	65535	1	65535	2.59	0.00
45161	9	65535	65535	1	65535	2.59	0.00
45169	8	65535	65535	1	65535	2.59	0.00
45177	8	65535	65535	1	65535	2.59	0.00
45186	9	65535	65535	1	65535	2.59	0.00
45194	8	65535	65535	1	65535	2.59	0.00
45203	9	65535	65535	1	65535	2.59	0.00
45211	8	65535	65535	1	65535	2.59	0.00
45219	8	65535	65535	1	65535	2.59	0.00
45227	8	65535	65535	1	65535	2.59	0.00
45235	8	65535	65535	1	65535	2.59	0.00
45245	10	65535	65535	1	65535	2.59	0.00
45253	8	65535	65535	1	65535	2.59	0.00
45262	9	65535	65535	1	65535	2.59	0.00
45270	8	65535	65535	1	65535	2.59	0.00
45279	9	65535	65535	1	65535	2.59	0.00
45288	9	65535	65535	1	65535	2.59	0.00
