81133	9	65535	6553¨²¢ŠÊJ65535	1.39	0.00
81141	8	65535	65535	56419	65535	1ÊJ0.00
81150	9	65šªJ65535	56419	65535	1.39	0.00
81158	8	65535	65535	56419	65535	1.39	0.00
81167	9	65535	65535	56419	65535	1.39	0.00
81175	8	65535	65535	56419	65535	1.39	0.00
81183	8	65535	65535	56419	65535	1.39	0.00
81191	8	65535	65535	56419	65535	1.39	0.00
81200	9	65535	65535	56419	65535	1.39	0.00
81209	9	65535	65535	56419	65535	1.39	0.00
81217	8	65535	65535	56419	65535	1.39	0.00
81225	8	65535	65535	56419	65535	1.39	0.00
81234	9	65535	65535	56419	65535	1.39	0.00
81242	8	65535	65535	56419	65535	1.39	0.00
81250	8	65535	65535	56419	65535	1.39	0.00
81258	8	65535	65535	56419	65535	1.39	0.00
81268	10	65535	65535	56419	65535	1.39	0.00
81276	8	65535	65535	56419	65535	1.39	0.00
81284	8	65535	65535	56419	65535	1.39	0.00
81292	8	65535	65535	56419	65535	1.39	0.00
81300	8	65535	65535	56419	65535	1.39	0.00
81309	9	65535	65535	56419	65535	1.39	0.00
81317	8	65535	65535	56419	65535	1.39	0.00
81325	8	65535	65535	56419	65535	1.39	0.00
81333	8	65535	65535	56419	65535	1.39	0.00
81341	8	65535	65535	56419	65535	1.39	0.00
81349	8	65535	65535	56419	65535	1.39	0.00
81357	8	65535	65535	56419	65535	1.39	0.00
81366	9	65535	65535	56419	65535	1.39	0.00
81374	8	65535	65535	56419	65535	1.39	0.00
81382	8	65535	65535	56419	65535	1.39	0.00
81390	8	65535	65535	56419	65535	1.39	0.00
81398	8	65535	65535	56419	65535	1.39	0.00
81406	8	65535	65535	56419	65535	1.39	0.00
81414	8	65535	65535	56419	65535	1.39	0.00
81424	10	65535	65535	56419	65535	1.39	0.00
81432	8	65535	65535	56419	65535	1.39	0.00
81440	8	65535	65535	56419	65535	1.39	0.00
81448	8	65535	65535	56419	65535	1.39	0.00
81457	9	65535	65535	56419	65535	1.39	0.00
81465	8	65535	65535	56419	65535	1.39	0.00
81473	8	65535	65535	56419	65535	1.39	0.00
81481	8	65535	65535	56419	65535	1.39	0.00
81490	9	65535	65535	56419	65535	1.39	0.00
81498	8	65535	65535	56419	65535	1.39	0.00
81506	8	65535	65535	56419	65535	1.39	0.00
81514	8	65535	65535	56419	65535	1.39	0.00
81524	10	65535	65535	56419	65535	1.39	0.00
81532	8	65535	65535	56419	65535	1.39	0.00
81540	8	65535	65535	56419	65535	1.39	0.00
81548	8	65535	65535	56419	65535	1.39	0.00
81557	9	65535	65535	56419	65535	1.39	0.00
81565	8	65535	65535	56419	65535	1.39	0.00
81573	8	65535	65535	56419	65535	1.39	0.00
81582	9	65535	65535	56419	65535	1.39	0.00
81591	9	65535	65535	56419	65535	1.39	0.00
81599	8	65535	65535	56419	65535	1.39	0.00
