51091	9	21846	65535	655MBLB&© J1.94
5  J8	21846	65535	65535	1	2.59	1.94
51107	8	21846	65535	65535	1	2.59	1.94
51116	9	21846	65535	65535	1	2.9	1.94
51124	8	21846	65535	65535	1	2.59	1.94
51133	9	21846	65535	65535	1	2.59	1.94
51141	8	21846	65535	65535	1	2.59	1.94
51151	10	21846	65535	65535	1	2.59	1.94
51159	8	21846	65535	65535	1	2.59	1.94
51167	8	21846	65535	65535	1	2.59	1.94
51175	8	21846	65535	65535	1	2.59	1.94
51184	9	21846	65535	65535	1	2.59	1.94
51193	9	21846	65535	65535	1	2.59	1.94
51201	8	21846	65535	65535	1	2.59	1.94
51209	8	21846	65535	65535	1	2.59	1.94
51218	9	21846	65535	65535	1	2.59	1.94
51226	8	21846	65535	65535	1	2.59	1.94
51235	9	21846	65535	65535	1	2.59	1.94
51243	8	21846	65535	65535	1	2.59	1.94
51253	10	21846	65535	65535	1	2.59	1.94
51261	8	21846	65535	65535	1	2.59	1.94
51269	8	21846	65535	65535	1	2.59	1.94
51277	8	21846	65535	65535	1	2.59	1.94
51286	9	21846	65535	65535	1	2.59	1.94
51295	9	21846	65535	65535	1	2.59	1.94
51303	8	21846	65535	65535	1	2.59	1.94
51312	9	21846	65535	65535	1	2.59	1.94
51321	9	21846	65535	65535	1	2.59	1.94
51329	8	21846	65535	65535	1	2.59	1.94
51337	8	21846	65535	65535	1	2.59	1.94
51345	8	21846	65535	65535	1	2.59	1.94
51355	10	21846	65535	65535	1	2.59	1.94
51363	8	21846	65535	65535	1	2.59	1.94
51372	9	21846	65535	65535	1	2.59	1.94
51380	8	21846	65535	65535	1	2.59	1.94
51388	8	21846	65535	65535	1	2.59	1.94
51397	9	21846	65535	65535	1	2.59	1.94
51405	8	21846	65535	65535	1	2.59	1.94
51414	9	21846	65535	65535	1	2.59	1.94
51422	8	21846	65535	65535	1	2.59	1.94
51430	8	21846	65535	65535	1	2.59	1.94
51438	8	21846	65535	65535	1	2.59	1.94
51446	8	21846	65535	65535	1	2.59	1.94
51455	9	21846	65535	65535	1	2.59	1.94
51463	8	21846	65535	65535	1	2.59	1.94
51472	9	21846	65535	65535	1	2.59	1.94
51480	8	21846	65535	65535	1	2.59	1.94
51488	8	21846	65535	65535	1	2.59	1.94
51496	8	21846	65535	65535	1	2.59	1.94
51504	8	21846	65535	65535	1	2.59	1.94
51514	10	21846	65535	65535	1	2.59	1.94
51522	8	21846	65535	65535	1	2.59	1.94
51531	9	21846	65535	65535	1	2.59	1.94
51539	8	21846	65535	65535	1	2.59	1.94
51548	9	21846	65535	65535	1	2.59	1.94
51557	9	21846	65535	65535	1	2.59	1.94
51565	8	21846	65535	65535	1	2.59	1.94
51574	9	21846	65535	65535	1	2.59	1.94
51583	9	21846	65535	65535	1	2.59	1.94
51591	8	21846	65535	65535	1	2.59	1.94
51599	8	21846	65535	65535	1	2.59	1.94
51607	8	21846	65535	65535	1	2.59	1.94
51617	10	21846	65535	65535	1	2.59	1.94
51625	8	21846	65535	65535	1	2.59	1.94
51634	9	21846	65535	65535	1	2.59	1.94
51642	8	21846	65535	65535	1	2.59	1.94
51651	9	21846	65535	65535	1	2.59	1.94
51659	8	21846	65535	65535	1	2.59	1.94
51667	8	21846	65535	65535	1	2.59	1.94
51676	9	21846	65535	65535	1	2.59	1.94
51685	9	21846	65535	65535	1	2.59	1.94
